review_id,product,source,customer_id,rating,review_text,sentiment
REV0001,Power Bank,Amazon,Customer_121,4,Amazing quality and very useful for daily use.,positive
REV0002,Power Bank,Amazon,Customer_136,4,The product works perfectly and looks great.,positive
REV0003,Keyboard,Social Media,Customer_121,5,"Excellent product, I really loved it.",positive
REV0004,Camera,Amazon,Customer_127,5,The product works perfectly and looks great.,positive
REV0005,Laptop,News Website,Customer_103,5,Fast delivery and excellent product quality.,positive
REV0006,Mouse,Social Media,Customer_104,1,Very poor quality and stopped working quickly.,negative
REV0007,Camera,Social Media,Customer_102,3,"It works, but there are some limitations.",neutral
REV0008,Power Bank,News Website,Customer_135,5,Great value for money and easy to use.,positive
REV0009,Smart Watch,Social Media,Customer_106,5,Great value for money and easy to use.,positive
REV0010,Smartphone,Social Media,Customer_144,1,I am disappointed with this product.,negative
REV0011,Power Bank,Social Media,Customer_123,5,Very happy with my purchase. Highly recommended.,positive
REV0012,Smartphone,News Website,Customer_124,5,Amazing quality and very useful for daily use.,positive
REV0013,Camera,Amazon,Customer_115,3,The quality is neither good nor bad.,neutral
REV0014,Power Bank,Amazon,Customer_144,4,The product works perfectly and looks great.,positive
REV0015,Laptop,Amazon,Customer_105,5,Amazing quality and very useful for daily use.,positive
REV0016,Mouse,Amazon,Customer_108,4,Very happy with my purchase. Highly recommended.,positive
REV0017,Mouse,Social Media,Customer_124,5,Fast delivery and excellent product quality.,positive
REV0018,Laptop,Amazon,Customer_135,2,Poor quality for the price.,negative
REV0019,Bluetooth Speaker,Social Media,Customer_114,3,The product is acceptable for normal use.,neutral
REV0020,USB Cable,Amazon,Customer_132,2,Very poor quality and stopped working quickly.,negative
REV0021,Bluetooth Speaker,News Website,Customer_139,5,Fast delivery and excellent product quality.,positive
REV0022,Mouse,News Website,Customer_122,2,Terrible experience. I would not recommend it.,negative
REV0023,Camera,Amazon,Customer_106,3,"It works, but there are some limitations.",neutral
REV0024,USB Cable,News Website,Customer_128,3,The product is okay and works as expected.,neutral
REV0025,Camera,News Website,Customer_113,4,"Excellent product, I really loved it.",positive
REV0026,Camera,Social Media,Customer_137,5,"Excellent product, I really loved it.",positive
REV0027,Keyboard,Amazon,Customer_149,5,Great value for money and easy to use.,positive
REV0028,Mouse,Social Media,Customer_103,3,The product is okay and works as expected.,neutral
REV0029,Wireless Headphones,Social Media,Customer_102,5,Very happy with my purchase. Highly recommended.,positive
REV0030,Wireless Headphones,Amazon,Customer_119,4,Great value for money and easy to use.,positive
REV0031,Keyboard,News Website,Customer_104,5,The product works perfectly and looks great.,positive
REV0032,Keyboard,Amazon,Customer_134,4,Great value for money and easy to use.,positive
REV0033,Wireless Headphones,Amazon,Customer_106,4,Fast delivery and excellent product quality.,positive
REV0034,Smart Watch,News Website,Customer_126,3,The product is acceptable for normal use.,neutral
REV0035,Mouse,Amazon,Customer_133,3,Average quality. Nothing special about it.,neutral
REV0036,Camera,Amazon,Customer_150,3,The product meets the basic requirements.,neutral
REV0037,USB Cable,Amazon,Customer_149,2,I am disappointed with this product.,negative
